,t,f(t)
0,0.0,[2.01914052]
1,0.05,[1.97832562]
2,0.1,[2.07257462]
3,0.15000000000000002,[2.38318307]
4,0.2,[2.56553374]
5,0.25,[2.43703974]
6,0.30000000000000004,[2.6773785]
7,0.35000000000000003,[2.6540397]
8,0.4,[2.82243009]
9,0.45,[2.95545328]
10,0.5,[2.865981]
11,0.55,[3.15857565]
12,0.6000000000000001,[3.13484735]
13,0.65,[3.22680689]
14,0.7000000000000001,[3.29043285]
15,0.75,[3.37969602]
16,0.8,[3.3132174]
17,0.8500000000000001,[3.43812851]
18,0.9,[3.45027571]
19,0.9500000000000001,[3.32955492]
20,1.0,[3.35506991]
21,1.05,[3.22108354]
22,1.1,[3.16703227]
23,1.1500000000000001,[3.26684006]
24,1.2000000000000002,[3.28047823]
25,1.25,[3.33263883]
26,1.3,[3.07692562]
27,1.35,[3.0073061]
28,1.4000000000000001,[2.97071025]
29,1.4500000000000002,[3.09064178]
30,1.5,[2.84620202]
31,1.55,[2.75138406]
32,1.6,[2.91345513]
33,1.6500000000000001,[2.61769094]
34,1.7000000000000002,[2.47036165]
35,1.75,[2.43039997]
36,1.8,[2.17881339]
37,1.85,[2.07536016]
38,1.9000000000000001,[2.0587472]
39,1.9500000000000002,[1.77363537]
40,2.0,[1.68792655]
41,2.0500000000000003,[1.81817619]
42,2.1,[1.29702863]
43,2.15,[1.11157581]
44,2.2,[1.11223388]
45,2.25,[1.01369912]
46,2.3000000000000003,[0.87578181]
47,2.35,[0.53547968]
48,2.4000000000000004,[0.33760961]
49,2.45,[0.367863]
50,2.5,[0.37237129]
51,2.5500000000000003,[0.00357129]
52,2.6,[-0.29369957]
53,2.6500000000000004,[-0.21483693]
54,2.7,[-0.59752254]
55,2.75,[-0.23525159]
56,2.8000000000000003,[-0.61293256]
57,2.85,[-0.9504219]
58,2.9000000000000004,[-0.92123448]
59,2.95,[-0.83910829]
60,3.0,[-1.29685372]
61,3.0500000000000003,[-1.42591048]
62,3.1,[-1.66481832]
63,3.1500000000000004,[-1.54991774]
64,3.2,[-1.68742304]
65,3.25,[-1.76666466]
66,3.3000000000000003,[-1.87515834]
67,3.35,[-2.1178728]
68,3.4000000000000004,[-2.13489446]
69,3.45,[-2.28179763]
70,3.5,[-2.23188639]
71,3.5500000000000003,[-2.48726171]
72,3.6,[-2.58153157]
73,3.6500000000000004,[-2.52145136]
74,3.7,[-2.48498382]
75,3.75,[-2.81821145]
76,3.8000000000000003,[-2.61511059]
77,3.85,[-2.66494204]
78,3.9000000000000004,[-2.76378133]
79,3.95,[-3.06937375]
80,4.0,[-2.83225865]
81,4.05,[-2.65161774]
82,4.1000000000000005,[-2.80070747]
83,4.15,[-2.80997181]
84,4.2,[-2.91829565]
85,4.25,[-2.83118602]
86,4.3,[-2.7062353]
87,4.3500000000000005,[-2.63727551]
88,4.4,[-2.90967359]
89,4.45,[-2.70982894]
90,4.5,[-2.50835479]
91,4.55,[-2.49822297]
92,4.6000000000000005,[-2.52518264]
93,4.65,[-2.41382721]
94,4.7,[-2.2324611]
95,4.75,[-2.29668931]
96,4.800000000000001,[-2.0823971]
97,4.8500000000000005,[-2.11473283]
98,4.9,[-1.94222122]
99,4.95,[-1.9881753]
100,5.0,[-1.72929147]
101,5.050000000000001,[-1.50397825]
102,5.1000000000000005,[-1.60487141]
103,5.15,[-1.6603417]
104,5.2,[-1.28395194]
105,5.25,[-1.08464802]
106,5.300000000000001,[-0.98114998]
107,5.3500000000000005,[-1.05722694]
108,5.4,[-0.79023535]
109,5.45,[-0.64394119]
110,5.5,[-0.63169528]
111,5.550000000000001,[-0.63741802]
112,5.6000000000000005,[-0.39734635]
113,5.65,[-0.1204567]
114,5.7,[0.0768833]
115,5.75,[0.06779164]
116,5.800000000000001,[0.23480238]
117,5.8500000000000005,[0.14142406]
118,5.9,[0.63184188]
119,5.95,[0.52359894]
120,6.0,[0.80617614]
121,6.050000000000001,[0.98681079]
122,6.1000000000000005,[0.90768101]
123,6.15,[0.95953796]
124,6.2,[1.40220938]
125,6.25,[1.32108913]
126,6.300000000000001,[1.35928903]
127,6.3500000000000005,[1.43590278]
128,6.4,[1.68256859]
129,6.45,[1.74351625]
130,6.5,[1.88271157]
131,6.550000000000001,[1.89822119]
132,6.6000000000000005,[1.94889885]
133,6.65,[2.04333066]
134,6.7,[2.2314423]
135,6.75,[2.18945385]
136,6.800000000000001,[1.97259764]
137,6.8500000000000005,[2.47164639]
138,6.9,[2.33115578]
139,6.95,[2.27192457]
140,7.0,[2.46610634]
141,7.050000000000001,[2.33778151]
142,7.1000000000000005,[2.40344069]
143,7.15,[2.37448557]
144,7.2,[2.32528478]
145,7.25,[2.56276072]
146,7.300000000000001,[2.38994782]
147,7.3500000000000005,[2.4248601]
148,7.4,[2.53743397]
149,7.45,[2.42056042]
150,7.5,[2.24602743]
151,7.550000000000001,[2.21012437]
152,7.6000000000000005,[2.26289181]
153,7.65,[2.32078042]
154,7.7,[2.10981055]
155,7.75,[2.09267131]
156,7.800000000000001,[2.28885567]
157,7.8500000000000005,[2.15233635]
158,7.9,[1.99088666]
159,7.95,[1.75202073]
160,8.0,[1.88229618]
161,8.05,[1.73008606]
162,8.1,[1.49879692]
163,8.15,[1.46024088]
164,8.200000000000001,[1.44085628]
165,8.25,[1.31305549]
166,8.3,[1.18641677]
167,8.35,[1.10227446]
168,8.4,[0.98910168]
169,8.450000000000001,[0.90710942]
170,8.5,[0.86236942]
171,8.55,[0.59050266]
172,8.6,[0.4566632]
173,8.65,[0.45461427]
174,8.700000000000001,[0.28001221]
175,8.75,[0.29116517]
176,8.8,[0.13922229]
177,8.85,[-0.06231769]
178,8.9,[-0.17258021]
179,8.950000000000001,[-0.21162903]
180,9.0,[-0.16662616]
181,9.05,[-0.38894652]
182,9.1,[-0.51714092]
183,9.15,[-0.78279695]
184,9.200000000000001,[-0.67201296]
185,9.25,[-0.84207572]
186,9.3,[-0.9384488]
187,9.35,[-1.01883297]
188,9.4,[-1.02759191]
189,9.450000000000001,[-1.22436797]
190,9.5,[-1.27334984]
191,9.55,[-1.49944894]
192,9.600000000000001,[-1.41534324]
193,9.65,[-1.4491021]
194,9.700000000000001,[-1.66478474]
195,9.75,[-1.74591591]
196,9.8,[-1.8171256]
197,9.850000000000001,[-1.71124024]
198,9.9,[-1.89424557]
199,9.950000000000001,[-1.93893706]
200,10.0,[-1.8663598]
201,10.05,[-1.86071806]
202,10.100000000000001,[-1.95982782]
203,10.15,[-1.97382939]
204,10.200000000000001,[-2.04569932]
205,10.25,[-1.99746097]
206,10.3,[-2.20786848]
207,10.350000000000001,[-2.01573433]
208,10.4,[-1.93285134]
209,10.450000000000001,[-2.13217652]
210,10.5,[-1.89345001]
211,10.55,[-2.10046755]
212,10.600000000000001,[-2.11823305]
213,10.65,[-2.03351172]
214,10.700000000000001,[-2.21756979]
215,10.75,[-1.80840405]
216,10.8,[-1.84625646]
217,10.850000000000001,[-1.74722767]
218,10.9,[-1.83352329]
219,10.950000000000001,[-1.8512554]
220,11.0,[-1.78128547]
221,11.05,[-1.71948118]
222,11.100000000000001,[-1.53408285]
223,11.15,[-1.31232916]
224,11.200000000000001,[-1.32122099]
225,11.25,[-1.2191557]
226,11.3,[-1.30382953]
227,11.350000000000001,[-1.23854555]
228,11.4,[-1.00524716]
229,11.450000000000001,[-1.16545921]
230,11.5,[-0.95051766]
231,11.55,[-0.85704969]
232,11.600000000000001,[-0.5435511]
233,11.65,[-0.81197381]
234,11.700000000000001,[-0.47583327]
235,11.75,[-0.34868389]
236,11.8,[-0.56430604]
237,11.850000000000001,[-0.46188139]
238,11.9,[-0.36131845]
239,11.950000000000001,[-0.00875653]
240,12.0,[0.06481621]
241,12.05,[-0.07917381]
242,12.100000000000001,[0.04830353]
243,12.15,[0.25821382]
244,12.200000000000001,[0.40049261]
245,12.25,[0.64809474]
246,12.3,[0.43503913]
247,12.350000000000001,[0.69574528]
248,12.4,[0.8406956]
249,12.450000000000001,[0.81212894]
250,12.5,[0.90553117]
251,12.55,[1.027752]
252,12.600000000000001,[0.90879731]
253,12.65,[1.17839234]
254,12.700000000000001,[1.25824694]
255,12.75,[1.28255437]
256,12.8,[1.28951064]
257,12.850000000000001,[1.36261859]
258,12.9,[1.58755122]
259,12.950000000000001,[1.41010326]
260,13.0,[1.73778594]
261,13.05,[1.52770643]
262,13.100000000000001,[1.7806433]
263,13.15,[1.70522937]
264,13.200000000000001,[1.69780358]
265,13.25,[1.58631941]
266,13.3,[1.73984118]
267,13.350000000000001,[1.52366656]
268,13.4,[1.75581626]
269,13.450000000000001,[1.57847811]
270,13.5,[1.95794188]
271,13.55,[1.89530623]
272,13.600000000000001,[1.79034606]
273,13.65,[1.75045088]
274,13.700000000000001,[1.54726613]
275,13.75,[1.71136695]
276,13.8,[1.65796751]
277,13.850000000000001,[1.67859769]
278,13.9,[1.66530282]
279,13.950000000000001,[1.40366929]
280,14.0,[1.65074705]
281,14.05,[1.40695335]
282,14.100000000000001,[1.54290234]
283,14.15,[1.38261867]
284,14.200000000000001,[1.51100649]
285,14.25,[1.46709263]
286,14.3,[1.25731915]
287,14.350000000000001,[1.33267387]
288,14.4,[1.14191549]
289,14.450000000000001,[1.12455646]
290,14.5,[0.82619554]
291,14.55,[0.97254398]
292,14.600000000000001,[0.8112831]
293,14.65,[0.78883854]
294,14.700000000000001,[0.77309212]
295,14.75,[0.52334052]
296,14.8,[0.64725697]
297,14.850000000000001,[0.54236191]
298,14.9,[0.4929721]
299,14.950000000000001,[0.20676036]
300,15.0,[0.21791886]
301,15.05,[0.194]
302,15.100000000000001,[0.02365131]
303,15.15,[-0.0753756]
304,15.200000000000001,[-0.08094353]
305,15.25,[-0.2888221]
306,15.3,[-0.20382609]
307,15.350000000000001,[-0.32652716]
308,15.4,[-0.61627958]
309,15.450000000000001,[-0.52653666]
310,15.5,[-0.65280144]
311,15.55,[-0.75012562]
312,15.600000000000001,[-0.63028601]
313,15.65,[-0.71127658]
314,15.700000000000001,[-0.95482758]
315,15.75,[-0.95356261]
316,15.8,[-0.98445506]
317,15.850000000000001,[-1.05937573]
318,15.9,[-1.02485583]
319,15.950000000000001,[-1.28705165]
320,16.0,[-1.19978475]
321,16.05,[-1.24838048]
322,16.1,[-1.52746443]
323,16.150000000000002,[-1.02485912]
324,16.2,[-1.45314896]
325,16.25,[-1.21325418]
326,16.3,[-1.30124302]
327,16.35,[-1.57037829]
328,16.400000000000002,[-1.53620517]
329,16.45,[-1.34943943]
330,16.5,[-1.66411091]
331,16.55,[-1.52112215]
332,16.6,[-1.67864767]
333,16.650000000000002,[-1.61765915]
334,16.7,[-1.54592878]
335,16.75,[-1.49107215]
336,16.8,[-1.57722187]
337,16.85,[-1.50386759]
338,16.900000000000002,[-1.46228136]
339,16.95,[-1.46539776]
340,17.0,[-1.30585982]
341,17.05,[-1.49524043]
342,17.1,[-1.44532853]
343,17.150000000000002,[-1.28032792]
344,17.2,[-1.31235333]
345,17.25,[-1.05822585]
346,17.3,[-1.15799873]
347,17.35,[-1.16218381]
348,17.400000000000002,[-1.26815541]
349,17.45,[-0.97284271]
350,17.5,[-1.14794513]
351,17.55,[-0.96002207]
352,17.6,[-0.76385787]
353,17.650000000000002,[-0.82643674]
354,17.7,[-0.90709137]
355,17.75,[-0.7137227]
356,17.8,[-0.79719406]
357,17.85,[-0.56915605]
358,17.900000000000002,[-0.43779668]
359,17.95,[-0.41118153]
360,18.0,[-0.30195345]
361,18.05,[-0.2150785]
362,18.1,[-0.22759926]
363,18.150000000000002,[-0.15669622]
364,18.2,[-0.26373872]
365,18.25,[0.05355855]
366,18.3,[-0.01678061]
367,18.35,[0.0054146]
368,18.400000000000002,[0.00905591]
369,18.45,[0.1517899]
370,18.5,[0.17985051]
371,18.55,[0.27488278]
372,18.6,[0.32293171]
373,18.650000000000002,[0.58606906]
374,18.7,[0.47544186]
375,18.75,[0.61245853]
376,18.8,[0.66348821]
377,18.85,[0.7370906]
378,18.900000000000002,[0.79716611]
379,18.95,[0.86418199]
380,19.0,[1.02643148]
381,19.05,[1.08932523]
382,19.1,[0.86055176]
383,19.150000000000002,[1.10701161]
384,19.200000000000003,[0.98601401]
385,19.25,[0.97794526]
386,19.3,[1.20043196]
387,19.35,[1.1832292]
388,19.400000000000002,[1.40320727]
389,19.450000000000003,[1.08784544]
390,19.5,[1.0635563]
391,19.55,[1.34509673]
392,19.6,[1.36805003]
393,19.650000000000002,[1.32346746]
394,19.700000000000003,[1.40131895]
395,19.75,[1.50533527]
396,19.8,[1.27250833]
397,19.85,[1.32927325]
398,19.900000000000002,[1.38309098]
399,19.950000000000003,[1.23366944]
400,20.0,[1.38431367]
401,20.05,[1.36259458]
402,20.1,[1.19791418]
403,20.150000000000002,[1.326222]
404,20.200000000000003,[1.34173514]
405,20.25,[1.19029009]
406,20.3,[1.11767446]
407,20.35,[1.13419837]
408,20.400000000000002,[1.03733258]
409,20.450000000000003,[1.22822113]
410,20.5,[1.08928139]
411,20.55,[1.0486598]
412,20.6,[0.78852923]
413,20.650000000000002,[1.02737757]
414,20.700000000000003,[0.94371484]
415,20.75,[0.64413703]
416,20.8,[0.6678602]
417,20.85,[0.60101151]
